short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,trending_sound_used,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
Save up to 40% on fees - Budget breakdown for a 7-day trip,24/12/2025,07:24,Wednesday,Budget Travel,voiceover,voiceover,Statistic,0,14.55,14727,497,126,85,28,0.049976,Medium,0,11.98%,1.0,cheaptravel,traveltips,visa,4
Cost breakdown you need - 3 documents you must not forget,09/01/2026,12:06,Friday,Visa Application Tips,voiceover,voiceover,Statistic,1,84.45,133752,5021,1075,354,873,0.054751,Medium,10,13.92%,12.19,immigration,visa,relocation,5
How to: Packing hack that saves space,29/11/2025,21:58,Saturday,Travel Hacks,voiceover,voiceover,Tutorial,0,22.2,45260,1975,395,342,472,0.070349,High,3,7.77%,2.72,packinghacks,cheapflights,studyabroad,5
Approval rate tips - Hidden gems you should not miss,03/11/2025,14:37,Monday,Destination Guides,voiceover,voiceover,Statistic,0,30.5,109825,4250,704,690,249,0.053658,Medium,10,13.44%,2.86,visit,thingstodo,visit,3
How to: Hidden gems you should not miss,27/11/2025,21:48,Thursday,Destination Guides,voiceover,voiceover,Tutorial,1,15.98,164552,6425,1601,1469,93,0.058267,Medium,7,9.64%,2.43,travelguide,thingstodo,relocation,4
Stop scrolling - Hotel booking trick,05/12/2025,14:10,Friday,Travel Hacks,text_overlay,text_overlay,Dramatic,0,39.01,50192,1889,177,306,183,0.050905,Medium,3,19.90%,8.35,traveltips,travelhacks,travel,4
How to: How to find cheaper flights,20/11/2025,20:10,Thursday,Travel Hacks,voiceover,voiceover,Tutorial,0,56.18,77157,3403,403,343,740,0.063364,High,5,23.43%,13.08,traveltips,packinghacks,visa,5
How to: Common visa rejection reasons,12/01/2026,11:58,Monday,Visa Application Tips,voiceover,voiceover,Tutorial,0,23.84,109191,5502,1713,1031,83,0.076279,High,5,25.73%,6.97,visatips,visaguide,visatips,4
Save up to 40% on fees - Top places to visit in 48 hours,25/11/2025,12:37,Tuesday,Destination Guides,voiceover,voiceover,Statistic,1,47.34,70255,2358,550,499,188,0.051171,Medium,2,25.51%,12.33,destination,visit,destination,3
My experience: How to find cheaper flights,09/11/2025,12:58,Sunday,Travel Hacks,text_overlay,text_overlay,Story,0,10.44,32107,1221,218,153,71,0.051796,Medium,1,21.08%,1.62,travelhacks,traveltips,travelhacks,5
Visa interview questions to prepare for?,02/11/2025,10:24,Sunday,Visa Application Tips,voiceover,voiceover,Question,1,48.94,1006773,41049,12914,3314,892,0.057778,Medium,58,24.93%,12.95,travelvisa,visatips,travel,3
My experience: Step-by-step visa process explained,31/12/2025,15:10,Wednesday,Visa Application Tips,voiceover,voiceover,Story,1,71.77,306579,10871,2643,1810,1659,0.055395,Medium,29,4.00%,3.85,travelvisa,visa,relocation,3
Important update - Visa application checklist,25/11/2025,22:10,Tuesday,Visa Application Tips,screen_recording,screen_recording,Dramatic,1,75.26,102022,3515,668,388,139,0.046167,Medium,5,18.35%,14.93,visa,immigration,relocation,4
How to: Step-by-step visa process explained,12/11/2025,09:18,Wednesday,Visa Application Tips,text_overlay,text_overlay,Tutorial,1,33.47,549494,25887,8052,3604,1096,0.070317,High,48,17.59%,4.46,immigration,visa,workvisa,4
My experience: How to travel with $50/day,06/01/2026,15:06,Tuesday,Budget Travel,voiceover,voiceover,Story,0,37.31,347723,14062,3578,1815,195,0.05651,Medium,26,14.42%,5.64,travelsavings,cheaptravel,travel,4
Top places to visit in 48 hours?,09/12/2025,21:58,Tuesday,Destination Guides,voiceover,voiceover,Question,0,36.38,114369,4661,987,253,890,0.059378,Medium,3,28.10%,11.01,travelguide,destination,visa,5
How to: Food spots you must try,27/12/2025,15:48,Saturday,Destination Guides,text_overlay,text_overlay,Tutorial,0,7.21,46433,1804,346,213,283,0.056985,Medium,4,38.42%,1.99,travelguide,thingstodo,workvisa,5
Travel hack for long layovers?,12/12/2025,16:41,Friday,Travel Hacks,voiceover,voiceover,Question,1,38.58,189176,8460,2370,1651,124,0.066631,High,15,23.18%,8.27,travelhacks,traveltips,travelhacks,5
How to: How to find cheaper flights,30/12/2025,15:48,Tuesday,Travel Hacks,voiceover,voiceover,Tutorial,1,49.37,219055,9114,1578,1466,2160,0.065363,High,7,26.52%,14.0,cheapflights,traveltips,cheapflights,5
My experience: 3 documents you must not forget,27/01/2026,20:00,Tuesday,Visa Application Tips,voiceover,voiceover,Story,1,24.18,82516,3132,567,261,612,0.055407,Medium,8,19.77%,5.97,travelvisa,visaguide,relocation,4
Approval rate tips - Travel hack for long layovers,11/11/2025,14:53,Tuesday,Travel Hacks,text_overlay,text_overlay,Statistic,0,36.04,145644,7386,1150,1231,92,0.067692,High,12,21.58%,8.51,traveltips,budgettravel,traveltips,4
Approval rate tips - How to find cheaper flights,19/11/2025,14:24,Wednesday,Travel Hacks,screen_recording,screen_recording,Statistic,0,47.76,181414,6888,1431,1352,1215,0.060006,High,8,10.67%,6.51,travelhacks,budgettravel,travel,4
How to: Step-by-step visa process explained,12/11/2025,14:37,Wednesday,Visa Application Tips,voiceover,voiceover,Tutorial,1,41.8,127254,6140,1099,582,1429,0.072689,High,14,27.75%,10.96,immigration,visatips,immigration,3
Cost breakdown you need - Visa interview questions to prepare for,24/01/2026,17:48,Saturday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,38.25,36405,1536,357,206,198,0.063096,High,1,11.92%,4.36,immigration,travelvisa,creatorsearchinsight,5
How to: Common visa rejection reasons,19/01/2026,12:06,Monday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,79.37,47166,1877,487,293,463,0.066149,High,4,21.51%,16.32,visa,immigration,travel,3
Budget breakdown for a 7-day trip?,23/12/2025,09:30,Tuesday,Budget Travel,voiceover,voiceover,Question,1,52.23,94552,3177,678,754,71,0.049497,Medium,3,21.20%,10.27,budgettravel,traveltips,travel,4
How to: Budget breakdown for a 7-day trip,02/01/2026,22:24,Friday,Budget Travel,voiceover,voiceover,Tutorial,1,45.14,51839,2190,427,405,45,0.059164,Medium,4,4.89%,3.22,traveltips,travelsavings,creatorsearchinsight,4
Stop scrolling - Packing hack that saves space,09/12/2025,08:48,Tuesday,Travel Hacks,voiceover,voiceover,Dramatic,1,31.56,86733,3072,625,430,347,0.051584,Medium,6,13.05%,5.25,packinghacks,travelhacks,packinghacks,4
How to: How much it costs to travel here,29/12/2025,11:48,Monday,Budget Travel,voiceover,voiceover,Tutorial,1,54.25,161333,7827,1157,1096,134,0.06331,High,7,17.90%,10.41,traveltips,budgettravel,relocation,4
Cost breakdown you need - 3 documents you must not forget,12/12/2025,11:06,Friday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,48.67,54044,2506,278,278,272,0.06169,High,3,4.00%,1.19,travelvisa,immigration,travel,4
How to: What to do in one day,10/11/2025,11:30,Monday,Destination Guides,voiceover,voiceover,Tutorial,1,41.94,286986,12930,1524,1724,1145,0.060362,High,13,14.89%,5.15,travelguide,thingstodo,travelguide,4
How to: What to do in one day,27/12/2025,17:10,Saturday,Destination Guides,text_overlay,text_overlay,Tutorial,1,28.22,242147,10208,1710,1591,294,0.057003,Medium,11,14.98%,5.49,visit,thingstodo,visit,5
My experience: How to find cheaper flights,12/12/2025,10:58,Friday,Travel Hacks,text_overlay,text_overlay,Story,0,24.16,47212,1750,290,237,126,0.050898,Medium,4,18.84%,3.9,budgettravel,traveltips,studyabroad,3
My experience: Save money on baggage fees,04/11/2025,19:24,Tuesday,Travel Hacks,voiceover,voiceover,Story,1,12.95,84053,2742,303,312,646,0.047625,Medium,5,22.72%,2.05,budgettravel,packinghacks,budgettravel,4
My experience: Travel hack for long layovers,19/01/2026,09:06,Monday,Travel Hacks,screen_recording,screen_recording,Story,1,10.31,11202,387,112,56,5,0.049991,Medium,1,11.47%,1.03,budgettravel,packinghacks,studyabroad,4
How to: Common visa rejection reasons,11/11/2025,19:53,Tuesday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,21.44,40112,2265,351,396,30,0.075838,High,2,25.97%,4.54,visa,travelvisa,visa,4
My experience: 3 documents you must not forget,08/01/2026,22:24,Thursday,Visa Application Tips,text_overlay,text_overlay,Story,0,39.18,108908,5254,968,709,66,0.064247,High,11,15.88%,7.35,travelvisa,visatips,studyabroad,4
Approval rate tips - Low-cost itinerary tips,29/11/2025,09:18,Saturday,Budget Travel,voiceover,voiceover,Statistic,1,44.88,71496,2977,439,321,662,0.061528,High,5,25.23%,11.38,travelonabudget,traveltips,relocation,4
How to travel with $50/day?,21/11/2025,08:24,Friday,Budget Travel,text_overlay,text_overlay,Question,1,44.86,343638,17058,3348,1242,543,0.064577,High,9,21.18%,8.9,cheaptravel,travelsavings,studyabroad,4
How to: Perfect itinerary for first-timers,25/12/2025,14:06,Thursday,Destination Guides,voiceover,voiceover,Tutorial,1,47.59,193058,8054,1177,1345,946,0.059682,Medium,12,23.51%,9.82,travelguide,destination,relocation,5
Stop scrolling - Save money on baggage fees,09/11/2025,13:18,Sunday,Travel Hacks,voiceover,voiceover,Dramatic,0,32.39,131795,5171,1269,808,68,0.05551,Medium,10,9.44%,4.48,cheapflights,traveltips,relocation,3
Save up to 40% on fees - Save money on baggage fees,11/01/2026,22:48,Sunday,Travel Hacks,voiceover,voiceover,Statistic,0,12.46,21285,737,142,124,111,0.052337,Medium,2,28.95%,3.18,budgettravel,travelhacks,budgettravel,3
Cost breakdown you need - How to travel with $50/day,01/11/2025,15:18,Saturday,Budget Travel,text_overlay,text_overlay,Statistic,0,37.47,71018,2960,521,465,39,0.056113,Medium,6,17.43%,7.03,travelonabudget,cheaptravel,visa,5
Stop scrolling - Step-by-step visa process explained,13/11/2025,16:18,Thursday,Visa Application Tips,screen_recording,screen_recording,Dramatic,1,30.34,163918,5582,1331,611,961,0.051764,Medium,9,29.62%,9.77,travelvisa,immigration,travelvisa,5
Stop scrolling - Common visa rejection reasons,05/12/2025,11:13,Friday,Visa Application Tips,screen_recording,screen_recording,Dramatic,1,9.61,13826,532,99,64,7,0.050774,Medium,1,19.23%,1.44,immigration,visatips,workvisa,3
Don’t do this - Step-by-step visa process explained,02/12/2025,15:48,Tuesday,Visa Application Tips,voiceover,voiceover,Dramatic,0,37.76,29775,1193,283,58,178,0.057498,Medium,1,22.13%,8.93,visa,immigration,creatorsearchinsight,3
Approval rate tips - 3 documents you must not forget,15/12/2025,10:37,Monday,Visa Application Tips,voiceover,voiceover,Statistic,1,50.6,86815,3500,728,477,427,0.059114,Medium,6,20.81%,9.48,visa,visatips,workvisa,5
Step-by-step visa process explained?,16/11/2025,21:58,Sunday,Visa Application Tips,text_overlay,text_overlay,Question,1,43.98,329257,16823,2499,2279,204,0.066225,High,29,31.56%,13.05,immigration,visa,creatorsearchinsight,3
How to: How much it costs to travel here,04/11/2025,13:37,Tuesday,Budget Travel,text_overlay,text_overlay,Tutorial,1,41.26,127056,5596,1446,833,1418,0.073141,High,5,31.53%,12.04,travelsavings,traveltips,travel,5
What to do in one day?,05/12/2025,08:18,Friday,Destination Guides,text_overlay,text_overlay,Question,1,54.09,62113,2343,360,544,33,0.052807,Medium,6,21.31%,10.44,thingstodo,hiddengems,travel,3
How to: Visa interview questions to prepare for,18/11/2025,22:37,Tuesday,Visa Application Tips,voiceover,voiceover,Tutorial,0,51.52,135419,5748,965,1163,1438,0.068779,High,12,12.16%,5.29,travelvisa,visa,workvisa,4
3 documents you must not forget?,16/11/2025,08:30,Sunday,Visa Application Tips,voiceover,voiceover,Question,0,38.55,56029,2911,610,363,260,0.073962,High,2,28.11%,9.88,travelvisa,visaguide,travelvisa,5
How to: Top places to visit in 48 hours,27/11/2025,21:06,Thursday,Destination Guides,text_overlay,text_overlay,Tutorial,0,23.27,95971,4346,438,667,353,0.060477,High,8,17.44%,2.91,hiddengems,thingstodo,relocation,5
Cost breakdown you need - Affordable destinations for 2026,18/12/2025,16:48,Thursday,Budget Travel,voiceover,voiceover,Statistic,1,53.59,35940,1206,235,141,280,0.051809,Medium,1,23.33%,11.28,budgettravel,traveltips,studyabroad,4
Common visa rejection reasons?,29/01/2026,22:37,Thursday,Visa Application Tips,voiceover,voiceover,Question,0,15.77,63240,3216,542,367,240,0.069023,High,3,10.37%,1.3,immigration,visatips,visa,5
Important update - Hidden gems you should not miss,23/12/2025,14:41,Tuesday,Destination Guides,voiceover,voiceover,Dramatic,0,25.8,89223,2997,507,421,338,0.047779,Medium,7,17.05%,5.69,travelguide,hiddengems,studyabroad,4
What to do in one day?,23/11/2025,17:00,Sunday,Destination Guides,text_overlay,text_overlay,Question,0,55.92,58426,1921,365,271,156,0.046435,Medium,3,36.77%,20.4,thingstodo,hiddengems,thingstodo,4
Don’t do this - How to travel with $50/day,17/11/2025,13:58,Monday,Budget Travel,voiceover,voiceover,Dramatic,1,23.73,132058,3273,978,622,785,0.042845,Medium,6,22.51%,4.84,travelsavings,traveltips,travelsavings,4
Don’t do this - Perfect itinerary for first-timers,29/01/2026,21:41,Thursday,Destination Guides,voiceover,voiceover,Dramatic,0,67.52,31620,794,184,139,25,0.036116,Medium,1,13.02%,8.87,thingstodo,visit,relocation,5
My experience: Low-cost itinerary tips,29/01/2026,08:58,Thursday,Budget Travel,voiceover,voiceover,Story,1,62.74,18735,715,118,97,9,0.05012,Medium,1,6.30%,4.69,budgettravel,cheaptravel,creatorsearchinsight,3
How to: 3 documents you must not forget,16/11/2025,19:53,Sunday,Visa Application Tips,text_overlay,text_overlay,Tutorial,1,36.45,150444,8362,1695,962,98,0.073895,High,14,37.51%,14.51,visaguide,immigration,relocation,3
My experience: Top places to visit in 48 hours,14/12/2025,15:13,Sunday,Destination Guides,text_overlay,text_overlay,Story,1,34.86,159282,6953,1481,565,263,0.058148,Medium,15,16.75%,6.21,destination,hiddengems,travel,5
Affordable destinations for 2026?,04/11/2025,08:10,Tuesday,Budget Travel,voiceover,voiceover,Question,0,32.04,56031,2209,493,215,321,0.057789,Medium,2,9.67%,1.98,budgettravel,travelsavings,budgettravel,4
How to: Save money on baggage fees,17/01/2026,21:58,Saturday,Travel Hacks,voiceover,voiceover,Tutorial,1,36.68,276454,13622,3453,2107,194,0.070088,High,25,12.47%,5.84,cheapflights,travelhacks,workvisa,4
My experience: Visa interview questions to prepare for,28/01/2026,10:24,Wednesday,Visa Application Tips,voiceover,voiceover,Story,1,38.07,172883,8656,1363,1536,167,0.067803,High,14,32.73%,12.0,travelvisa,visaguide,relocation,3
Cost breakdown you need - Hotel booking trick,10/11/2025,16:53,Monday,Travel Hacks,voiceover,voiceover,Statistic,0,15.83,54530,1963,384,266,472,0.056574,Medium,2,19.36%,1.82,budgettravel,travelhacks,creatorsearchinsight,5
Hidden gems you should not miss?,29/11/2025,07:58,Saturday,Destination Guides,screen_recording,screen_recording,Question,1,32.0,248634,9117,1287,1798,2208,0.057957,Medium,21,22.04%,6.26,thingstodo,destination,workvisa,3
My experience: What to do in one day,05/11/2025,18:30,Wednesday,Destination Guides,text_overlay,text_overlay,Story,0,44.53,309853,10695,2987,1826,476,0.051586,Medium,23,4.23%,3.03,visit,thingstodo,workvisa,5
Cost breakdown you need - Travel hack for long layovers,03/01/2026,08:06,Saturday,Travel Hacks,text_overlay,text_overlay,Statistic,0,81.16,102016,3942,565,506,398,0.053041,Medium,3,17.23%,13.89,budgettravel,packinghacks,travel,4
Stop scrolling - 3 documents you must not forget,16/11/2025,18:58,Sunday,Visa Application Tips,text_overlay,text_overlay,Dramatic,1,36.67,106291,5045,779,671,64,0.061708,High,6,19.19%,5.92,visa,immigration,travel,3
Step-by-step visa process explained?,30/12/2025,16:30,Tuesday,Visa Application Tips,voiceover,voiceover,Question,0,34.51,66048,2999,343,401,595,0.06568,High,4,13.20%,3.17,visaguide,immigration,travel,5
My experience: What to do in one day,15/11/2025,17:24,Saturday,Destination Guides,text_overlay,text_overlay,Story,1,32.64,239147,9064,1696,916,314,0.050137,Medium,11,30.76%,11.27,hiddengems,thingstodo,travel,3
My experience: Top places to visit in 48 hours,10/11/2025,15:58,Monday,Destination Guides,voiceover,voiceover,Story,1,69.41,145462,4076,966,505,619,0.042389,Medium,7,26.64%,18.67,destination,visit,workvisa,4
Packing hack that saves space?,13/11/2025,11:06,Thursday,Travel Hacks,voiceover,voiceover,Question,1,7.39,20984,742,136,88,168,0.054041,Medium,2,16.76%,1.96,budgettravel,cheapflights,budgettravel,3
How to: What to do in one day,04/11/2025,08:10,Tuesday,Destination Guides,voiceover,voiceover,Tutorial,0,44.72,150600,5980,1131,1200,1517,0.065259,High,14,37.03%,17.45,hiddengems,thingstodo,studyabroad,4
Visa application checklist?,17/12/2025,17:00,Wednesday,Visa Application Tips,text_overlay,text_overlay,Question,1,53.17,38095,1638,188,258,326,0.063263,High,2,17.82%,8.15,visa,visatips,studyabroad,3
Affordable destinations for 2026?,28/12/2025,12:41,Sunday,Budget Travel,voiceover,voiceover,Question,1,11.62,123397,5058,680,817,480,0.057011,Medium,9,24.54%,1.66,travelonabudget,traveltips,creatorsearchinsight,3
How to: How to travel with $50/day,16/01/2026,12:24,Friday,Budget Travel,voiceover,voiceover,Tutorial,0,41.37,83907,3957,903,375,708,0.070828,High,6,24.29%,9.67,cheaptravel,travelsavings,studyabroad,5
How to: Save money on baggage fees,25/01/2026,21:00,Sunday,Travel Hacks,voiceover,voiceover,Tutorial,1,47.15,65456,2861,617,118,334,0.06004,High,5,22.92%,10.51,cheapflights,budgettravel,travel,3
What to do in one day?,04/01/2026,08:00,Sunday,Destination Guides,text_overlay,text_overlay,Question,1,34.88,182649,7548,2273,1736,102,0.063833,High,4,14.82%,5.67,travelguide,thingstodo,travelguide,4
My experience: Food spots you must try,13/01/2026,15:41,Tuesday,Destination Guides,voiceover,voiceover,Story,0,45.25,31320,1092,291,133,14,0.048851,Medium,1,9.29%,4.11,hiddengems,travelguide,creatorsearchinsight,3
Food spots you must try?,06/01/2026,14:30,Tuesday,Destination Guides,voiceover,voiceover,Question,0,12.73,40008,1270,247,229,17,0.044066,Medium,1,5.42%,1.76,hiddengems,travelguide,relocation,5
Don’t do this - Low-cost itinerary tips,08/11/2025,18:30,Saturday,Budget Travel,voiceover,voiceover,Dramatic,0,22.89,146137,4266,997,787,61,0.041817,Medium,8,17.89%,4.59,travelonabudget,cheaptravel,relocation,4
How to: Hidden gems you should not miss,13/11/2025,10:18,Thursday,Destination Guides,voiceover,voiceover,Tutorial,0,55.54,111624,4478,846,618,1001,0.0622,High,7,16.69%,9.4,travelguide,thingstodo,travel,3
Cost breakdown you need - What to do in one day,08/11/2025,16:13,Saturday,Destination Guides,voiceover,voiceover,Statistic,1,35.92,325415,13855,2453,1828,749,0.058034,Medium,20,31.51%,11.44,destination,hiddengems,relocation,3
Visa interview questions to prepare for?,02/12/2025,17:10,Tuesday,Visa Application Tips,voiceover,voiceover,Question,1,31.97,305839,13361,3157,2459,966,0.065208,High,16,22.10%,6.81,immigration,visa,creatorsearchinsight,5
How to: How much it costs to travel here,11/12/2025,12:48,Thursday,Budget Travel,voiceover,voiceover,Tutorial,0,28.42,127416,6586,1515,755,88,0.070195,High,5,16.50%,4.81,traveltips,travelonabudget,workvisa,3
Approval rate tips - Visa application checklist,26/11/2025,15:30,Wednesday,Visa Application Tips,text_overlay,text_overlay,Statistic,1,28.21,195375,9373,1369,1389,112,0.062664,High,15,17.10%,5.05,visa,travelvisa,studyabroad,4
What to do in one day?,19/11/2025,19:06,Wednesday,Destination Guides,voiceover,voiceover,Question,0,24.54,121385,4897,1281,755,68,0.057676,Medium,9,23.21%,5.6,hiddengems,travelguide,travel,3
Hidden gems you should not miss?,12/01/2026,20:41,Monday,Destination Guides,text_overlay,text_overlay,Question,0,44.38,46848,1742,584,203,463,0.063866,High,4,31.21%,13.97,thingstodo,travelguide,visa,3
How to: 3 documents you must not forget,04/12/2025,22:58,Thursday,Visa Application Tips,screen_recording,screen_recording,Tutorial,0,37.04,152786,7855,1965,1489,113,0.074758,High,10,20.34%,8.85,immigration,visatips,relocation,4
How to: Travel hack for long layovers,11/01/2026,09:24,Sunday,Travel Hacks,voiceover,voiceover,Tutorial,1,31.06,96446,4468,923,723,850,0.072206,High,5,23.15%,6.53,packinghacks,budgettravel,relocation,4
My experience: Budget breakdown for a 7-day trip,01/12/2025,17:58,Monday,Budget Travel,voiceover,voiceover,Story,1,87.17,128940,4085,741,890,694,0.049713,Medium,12,20.72%,16.67,traveltips,budgettravel,relocation,4
How to: Hotel booking trick,10/11/2025,20:41,Monday,Travel Hacks,voiceover,voiceover,Tutorial,0,33.03,40388,1922,247,364,226,0.068312,High,3,19.07%,7.15,travelhacks,traveltips,travelhacks,3
Hotel booking trick?,29/11/2025,22:18,Saturday,Travel Hacks,voiceover,voiceover,Question,0,50.53,74048,3127,521,270,633,0.06146,High,2,18.18%,9.09,packinghacks,traveltips,workvisa,5
Stop scrolling - Hidden gems you should not miss,31/01/2026,18:18,Saturday,Destination Guides,voiceover,voiceover,Dramatic,1,13.89,107085,2539,467,331,593,0.0367,Medium,9,18.83%,1.97,travelguide,visit,studyabroad,3
Visa application checklist?,24/11/2025,12:10,Monday,Visa Application Tips,text_overlay,text_overlay,Question,1,46.7,83155,3956,927,474,93,0.06554,High,9,24.98%,11.0,visatips,visaguide,creatorsearchinsight,3
Don’t do this - How to find cheaper flights,06/01/2026,11:41,Tuesday,Travel Hacks,voiceover,voiceover,Dramatic,1,48.41,318237,10592,1871,1379,181,0.044065,Medium,17,15.93%,7.74,budgettravel,packinghacks,creatorsearchinsight,4
How to: How to find cheaper flights,02/01/2026,10:13,Friday,Travel Hacks,voiceover,voiceover,Tutorial,1,38.34,87616,4756,449,785,468,0.073708,High,3,20.38%,6.96,cheapflights,traveltips,workvisa,5
Perfect itinerary for first-timers?,24/12/2025,08:06,Wednesday,Destination Guides,voiceover,voiceover,Question,0,33.14,57102,2425,392,323,30,0.055515,Medium,2,26.79%,7.68,travelguide,thingstodo,relocation,3
My experience: 3 documents you must not forget,21/01/2026,20:10,Wednesday,Visa Application Tips,voiceover,voiceover,Story,0,44.46,44146,1986,519,91,430,0.068545,High,4,10.96%,3.53,visaguide,travelvisa,creatorsearchinsight,5
How to: Visa application checklist,03/01/2026,14:24,Saturday,Visa Application Tips,voiceover,voiceover,Tutorial,0,42.31,97464,4447,972,771,912,0.072868,High,3,35.43%,14.48,immigration,travelvisa,travel,4
Approval rate tips - How to travel with $50/day,15/11/2025,13:41,Saturday,Budget Travel,voiceover,voiceover,Statistic,0,49.5,42689,1535,343,107,198,0.051137,Medium,1,21.49%,9.9,traveltips,travelonabudget,studyabroad,5
How to: Step-by-step visa process explained,21/11/2025,09:30,Friday,Visa Application Tips,voiceover,voiceover,Tutorial,0,14.48,104577,4849,914,537,63,0.060845,High,8,22.73%,1.88,visaguide,visatips,relocation,5
How to: Visa interview questions to prepare for,12/11/2025,15:37,Wednesday,Visa Application Tips,voiceover,voiceover,Tutorial,1,8.16,82070,3722,1064,836,50,0.069112,High,5,17.93%,2.84,visa,immigration,visa,5
Visa application checklist?,24/01/2026,13:10,Saturday,Visa Application Tips,voiceover,voiceover,Question,0,78.53,10944,413,97,55,40,0.055281,Medium,0,18.55%,15.38,visaguide,travelvisa,visa,4
Don’t do this - Travel hack for long layovers,09/01/2026,14:10,Friday,Travel Hacks,text_overlay,text_overlay,Dramatic,1,55.96,78240,2315,619,397,32,0.042983,Medium,4,14.65%,7.17,budgettravel,travelhacks,budgettravel,4
My experience: Common visa rejection reasons,24/11/2025,09:58,Monday,Visa Application Tips,voiceover,voiceover,Story,0,10.84,58194,2167,361,271,500,0.05669,Medium,4,9.64%,1.0,immigration,visatips,workvisa,5
How to: Travel hack for long layovers,23/01/2026,12:48,Friday,Travel Hacks,voiceover,voiceover,Tutorial,1,9.78,49699,2276,613,265,30,0.064066,High,4,32.15%,4.6,packinghacks,traveltips,visa,3
Save up to 40% on fees - Packing hack that saves space,29/11/2025,08:24,Saturday,Travel Hacks,text_overlay,text_overlay,Statistic,0,34.0,57846,2331,478,451,32,0.05691,Medium,4,26.51%,7.58,packinghacks,budgettravel,workvisa,5
How to: 3 documents you must not forget,28/01/2026,13:30,Wednesday,Visa Application Tips,voiceover,voiceover,Tutorial,1,21.91,114571,5978,757,886,1108,0.076189,High,6,30.10%,8.05,immigration,travelvisa,workvisa,4
My experience: Step-by-step visa process explained,11/01/2026,12:10,Sunday,Visa Application Tips,text_overlay,text_overlay,Story,1,31.11,125108,5910,1084,743,260,0.063921,High,13,19.86%,6.96,visa,travelvisa,relocation,3
My experience: Save money on baggage fees,30/12/2025,17:58,Tuesday,Travel Hacks,screen_recording,screen_recording,Story,0,53.37,12023,488,124,61,7,0.056558,Medium,1,17.37%,8.0,packinghacks,cheapflights,visa,3
My experience: Visa application checklist,23/12/2025,11:58,Tuesday,Visa Application Tips,voiceover,voiceover,Story,0,53.29,109599,3975,806,545,562,0.053723,Medium,8,19.32%,8.93,visa,travelvisa,workvisa,4
How to: What to do in one day,26/01/2026,18:10,Monday,Destination Guides,voiceover,voiceover,Tutorial,1,37.81,160647,6436,1282,980,1253,0.061943,High,7,19.77%,8.76,visit,thingstodo,visa,5
My experience: 3 documents you must not forget,15/12/2025,12:48,Monday,Visa Application Tips,voiceover,voiceover,Story,1,34.95,102786,5141,899,609,98,0.065641,High,8,30.80%,9.81,immigration,visa,immigration,3
How to: What to do in one day,31/12/2025,18:06,Wednesday,Destination Guides,text_overlay,text_overlay,Tutorial,1,56.34,16245,733,93,100,110,0.063773,High,0,4.00%,2.67,travelguide,visit,visa,4
What to do in one day?,18/12/2025,16:48,Thursday,Destination Guides,screen_recording,screen_recording,Question,1,13.98,131309,4487,1084,687,61,0.048123,Medium,6,13.90%,1.25,thingstodo,destination,workvisa,3
Hotel booking trick?,08/11/2025,09:10,Saturday,Travel Hacks,voiceover,voiceover,Question,0,38.73,90439,3838,834,616,48,0.059001,Medium,6,33.39%,12.89,traveltips,cheapflights,travel,5
Common visa rejection reasons?,28/01/2026,08:30,Wednesday,Visa Application Tips,voiceover,voiceover,Question,0,22.61,46037,1859,715,289,96,0.064274,High,3,15.89%,4.74,immigration,visatips,visa,3
Top places to visit in 48 hours?,11/01/2026,20:41,Sunday,Destination Guides,text_overlay,text_overlay,Question,0,32.01,102502,4237,678,672,288,0.057316,Medium,6,21.19%,5.81,visit,travelguide,travel,4
How to: Visa application checklist,21/12/2025,18:41,Sunday,Visa Application Tips,voiceover,voiceover,Tutorial,0,33.29,74007,3990,300,523,900,0.077195,High,7,33.64%,12.17,visaguide,visa,visa,4
Don’t do this - Hidden gems you should not miss,05/11/2025,07:13,Wednesday,Destination Guides,voiceover,voiceover,Dramatic,0,55.18,38411,1066,124,60,221,0.038296,Medium,1,13.99%,7.62,thingstodo,travelguide,creatorsearchinsight,5
My experience: Visa application checklist,28/01/2026,21:53,Wednesday,Visa Application Tips,text_overlay,text_overlay,Story,0,38.94,92181,3818,893,565,690,0.06472,High,6,18.38%,7.94,immigration,travelvisa,creatorsearchinsight,5
My experience: Travel hack for long layovers,24/12/2025,16:37,Wednesday,Travel Hacks,text_overlay,text_overlay,Story,0,35.44,216502,9000,2405,1522,125,0.060286,High,12,21.23%,7.2,traveltips,cheapflights,studyabroad,5
Approval rate tips - Packing hack that saves space,06/01/2026,11:00,Tuesday,Travel Hacks,voiceover,voiceover,Statistic,1,14.6,104165,3632,742,658,49,0.048778,Medium,10,30.80%,4.99,packinghacks,traveltips,relocation,4
